ID_ACCOUNT	Felhasználónév
PW_ACCOUNT	Jelszó
UPGRADE	Folyamatos fejlesztés.
LOGIN_ACCOUNT_EMPTY	Ingyenes
LOGIN_ACCOUNT_DELETE	Fiókját sikeresen töröltük.
LOGIN_ACCOUNT_D_S	Fiók törléséhez el kell mentenie egyet.
LOGIN_ACCOUNT_N_S	Még nincs mentett fiókja.
LOGIN_ACCOUNT_N_S_D	Fiókjának mentéséhez fel kell nyitnia egy nyílást.
LOGIN_ACCOUNT_SAVE	Írja be a fiók adatait a fiók mentéséhez.
LOGIN_ACCOUNT_SAVED	A fiók sikeresen mentésre került.
LOGIN_ACCOUNT_LOAD	Feltöltés
LOGIN_ACCOUNT_REGISTER	Regisztráljon most!
LOGIN_ACCOUNT_FORGOT_PASS	Elfelejtettem a jelszavam.
CREATE_SHAPE1	Megjelenés 1
CREATE_SHAPE2	Megjelenés 2
BANNER_ATTENDANCE_BUTTON	Esemény a fõnökök fonója
ATTENDANCE_TITLE	Esemény a fõnökök fonója
BANNER_FISH_BUTTON	HAL HAL
MINIGAME_FISH_EVENT_USE_COUNT	Mennyiség
MINI_GAME_FISH_HELP_TEXT	Segítség
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Halászati kirakós játék
CURRENT_POINT	Pontszám: %d
RESTART_IMMEDIATE	Indítsa újra azonnal
BATTLE_FIELD_INFO	Háborús övezet
BATTLE_FIELD_OPERATION_TIME	A háborús övezetbe beléphet %s:00 és %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Jelenleg a bejárat nyitva van.
BATTLE_FIELD_OPERATION_TIME_END	A harc zóna még %s óráig nyitva van.
BATTLE_FIELD_OPERATION_TIME_NA	Abban a pillanatban, hogy a neveket lezárták.
BATTLE_FIELD_OPERATION_TIME_OPEN	A harc zóna %s óra múlva elérhetõ! %s óráig.
BATTLE_FILED_RANK	Rank
BATTLE_FILED_RANK_EMPIRE	Birodalom
BATTLE_FILED_RANK_NAME	Név
BATTLE_FILED_RANK_POINT	Pont
ENTER_BATTLE_FIELD	Enter
EXIT_BATTLE_FIELD	Tényleg el akarja hagyni a Harci Zónát??
EXIT_BATTLE_FIELD_ON_DEAD	%d ponttal kívánja elhagyni a harci zónát ?
DUNGEON_INFO	Dungeon információ
DUNGEON_INFO_TYPE	Tip:
DUNGEON_INFO_ORGANIZATION	Szervezet:
DUNGEON_INFO_LEVEL_LIMIT	Szinthatár:
DUNGEON_INFO_PARTY_MEMBERS	Csoport tagjai:
DUNGEON_INFO_COOLDOWN	Várakozási idõ:
DUNGEON_INFO_DURATION	Tartam:
DUNGEON_INFO_ENTRANCE	Belépés:
DUNGEON_INFO_STRENGTH	Erõteljes imp:
DUNGEON_INFO_RESISTANCE	Ellenállás:
DUNGEON_INFO_TOTAL_FINISHED	Befejezett:
DUNGEON_INFO_FASTEST_TIME	Gyorsabb idõ:
DUNGEON_INFO_HIGHEST_DAMAGE	Nagyobb kár a végsõ fõnöknek:
DUNGEON_INFO_TELEPORT	Teleport
DUNGEON_INFO_CLOSE	Közel
DUNGEON_INFO_PERSONAL_STATS	Eredményeim
DUNGEON_INFO_DUNGEON	Dungeon
DUNGEON_RANKING	Értékelés
DUNGEON_RANKING_POSITION	Rangsor
DUNGEON_RANKING_NAME	Név
DUNGEON_RANKING_LEVEL	Szint
DUNGEON_RANKING_POINTS	Rangpont
DUNGEON_RANKING_TYPE1	A rangsor kész
DUNGEON_RANKING_TYPE2	Idõértékelések
DUNGEON_RANKING_TYPE3	Kár besorolása
DUNGEON_RANKING_POINT_TYPE1	Befejezett
DUNGEON_RANKING_POINT_TYPE2	Min. idõ
DUNGEON_RANKING_POINT_TYPE3	Max. idõ
UPGRADE_STORAGE_TITLE	Különleges letét
INVENTORY_MENUE_TITLE	Menü
INVENTORY_MENUE_WINDWOW_TITLE	Választ
INVENTORY_MENUE_NORMAL	Letét
INVENTORY_MENUE_ITEMSHOP	Item-Shop
INVENTORY_MENUE_GUILD	Átalakítási áruház
OPTION_MOB_INFO	Mob info
OPTION_MOB_INFO_AGGR	Agresszív
OPTION_MOB_INFO_LEVEL	Szint
TITLE_SYSTEM	Eredmények
TITLE_SYSTEM_CHOOSE	Válasszon egy titulust:
GUILD_DRAGONLAIR_RANKING	Rangsor
GUILD_DRAGONLAIR_RANKING_COUNT	Hely
GUILD_DRAGONLAIR_RANKING_MEMBER	Tagjai
GUILD_DRAGONLAIR_RANKING_NAME	Céh
GUILD_DRAGONLAIR_RANKING_TIME	Idõ
SPECIAL_EFFECTS_TITLE	Speciális effektusok
SHOP_SEARCH_TITLE	Üzlet keresés
SHOP_SEARCH_CLEAR	Tiszta
SHOP_SEARCH_BUTTON	Keresés
SHOP_SEARCH_PRICE	Ár:
SHOP_SEARCH_ENTER_ITEM_NAME	Írja be az tárgy nevét.
SHOP_SEARCH_EMPTY_ITEM_NAME	Nem találtunk ilyen nevû tárgyat.
DESTROY	Megsemmisít
DROP_ITEM	El szeretné dobni ezt a tárgyat ?
OPTION_SALESTEXT_RANGE	Bolt sugara
SHOP_NAME	Bolt neve
SHOP_TIMEOUT	Idõ
SHOP_CREATE	Hozzon létre egy boltot
SHOP_CREATE_PRICE	Ár: 
SHOP_CREATE_HOURS	órák
SHOP_CREATE_HOUR	óra
SHOP_CREATE_DAY	nap
SHOP_CREATE_DAYS	napok
SHOP_CREATE_NORMAL	Normál üzlet
SHOP_NAME_EMPTY	Írja be a bolt nevét.
SHOP_TIMEOUT_EMPTY	Válassza ki az idõt.
SHOP_WINDOW_NAME	Magazinele tale
SHOP_WINDOW_CREATE	Az üzletek
SHOP_GET_YANG	Yang visszavonása
SHOP_CHANGE_NAME	Változtasd meg a nevet
SHOP_ENTER_NEW_NAME	Írja be az új nevet.
SHOP_CLOSE	Bezárja az üzletet
SHOP_CLOSE_QUEST	Biztos benne, hogy bezárja az üzletet "%s"?
SHOP_MANAGE	PANEL
SHOP_OPEN	Hozzon létre egy boltot
SHOP_EDIT	Szerkesztés
SHOP_REMOVE_ITEM	Törlés
SHOP_CHANGE_PRICE	Ár változtatás
SHOP_EDIT_SHOP_WINDOW	Szerkesztés
SHOP_EDIT_SHOP_CANCEL	Törlés
SHOP_REMOVE_ITEM_QUEST	Kiszeretné venni az összes tárgyat?
SHOP_SELECT	Választ
SHOP_NOT_EARNED_YANG	SHOP_NOT_EARNED_YANG_HIBA
SHOP_YANG_QUEST	SHOP_YANG_QUEST_HIBA
SHOP_INFORMATION	Információk
SHOP_EARNED_YANG	SHOP_EARNED_YANG_HIBA 
SHOP_SOLD_ITEMS	Értékesített tárgyak: 
SHOP_REST_ITEMS	Hátralévõ tárgyak: 
SHOP_TIME_TO_CLOSE	Maradt idõ: 
GIFT_WINDOW_NAME	Magán bolt
GIFT_PREV_PAGE	vissza
GIFT_NEXT_PAGE	elõre
GIFT_FROM	
GIFT_REASON	Indok
GIFT_GET_ALL	Kivesz mindent
GIFT_GET_QUEST	Biztos vagy benne, hogy vissza akar lépni "%s"?
GIFT_GET_QUEST_ALL	Biztos benne, hogy mindent kivesz?
GIFT_MONEY_DESC	Yang az offline áruházából gyûlt össze.
SHOP_SELECT_TIME	Választ
ACCEPT	Megerõsít
ATTACH_METIN_INFO	Használni akarod a Szellemkövet?
ATTACH_METIN_TITLE	Szellemkõ használata
CANCEL	Megszakít
CHANGE_PASSWORD_CONFIRM	Új jelszót megerõsít
CHANGE_PASSWORD_NEW	Új jelszó
CHANGE_PASSWORD_OLD	Régi jelszó
CHANGE_PASSWORD_TITLE	Jelszó változtatás
CHARACTER_ACTION	Érzelmek
CHARACTER_EMOTICON	Érzelem
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Interaktív Érzelmek
CHARACTER_NORMAL_ACTION	Normál Érzelmek
CHARACTER_QUEST	Küldetések
CHARACTER_SKILL	Képesség
CLOSE	Bezár
COSTUME_TITLE	Viseletek
COSTUME_WINDOW_TITLE	Viseletek
CREATE_ATT_GRADE	Erõ
CREATE_CREATE	Létrehoz
CREATE_DEX_GRADE	ÜGY
CREATE_HP	VIT
CREATE_LAST_POINT	Pont
CREATE_MAN	Férfi
CREATE_NAME	Név
CREATE_NEXT	Tovább
CREATE_PREV	Vissza
CREATE_SEX	Neme
CREATE_SHAPE	Kinézet
CREATE_SP	INT
CREATE_STAT_RESET	Vissza
CREATE_WOMAN	Asszony
CUBE_INFO_TITLE	Finomítási kézikönyv
CUBE_REQUIRE_MATERIAL	Szükséges anyagok
CUBE_REQUIRE_MATERIAL_OR	vagy
CUBE_TITLE	Nemesítési ablak
DO_REFINE	Nemesít
DRAGONSOUL_ACTIVATE	Aktiválás
DRAGONSOUL_PAGE_BUTTON_1	Nyers
DRAGONSOUL_PAGE_BUTTON_2	Metszett
DRAGONSOUL_PAGE_BUTTON_3	Ritka
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendás
DRAGONSOUL_REFINE_WINDOW_TITLE	Nemesítési ablak
DRAGONSOUL_TAP_TITLE_1	Sárkánygyémánt
DRAGONSOUL_TAP_TITLE_2	Sárkányrubin
DRAGONSOUL_TAP_TITLE_3	Sárkányjáde
DRAGONSOUL_TAP_TITLE_4	Sárkányzafír
DRAGONSOUL_TAP_TITLE_5	Sárkánygránát
DRAGONSOUL_TAP_TITLE_6	Sárkányónix
DRAGONSOUL_TITLE	Sárkánykõ-alkímia
EMPIRE_EXIT	Bezár
EMPIRE_NEXT	Tovább
EMPIRE_PREV	Vissza
EMPIRE_SELECT	Választani
EXCHANGE_ACCEPT	Elfogad
EXCHANGE_TITLE	Kereskedés
GAMEOPTION_TITLE	Játék opciók
GAME_EXIT_OBSERVER	Megfigyelõ módot befejezni
GAME_HELP	Segítség
GAME_QUEST	Feladat
GAME_SKILL_UP	Képesség fejlesztés
GAME_STAT_UP	Státusz emelés
GRADE	Osztály
GRADE_SELECT	Osztály
GUILD_BASENAME	Bázisnév
GUILD_BOARD_ID	Név
GUILD_BOARD_REFRESH	Aktualizálás (F5)
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_CATEGORY_TITLE	Építõ darabok
GUILD_BUILDING_CHANGE	Cserélni
GUILD_BUILDING_DIRECTION	Irány
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Épület- és költséginformációk
GUILD_BUILDING_LIST_TITLE	Épület lista
GUILD_BUILDING_LOG	Tönk
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_OPERATE	Kiszolgál
GUILD_BUILDING_PLY	Furnér
GUILD_BUILDING_POSITION	Fekvés
GUILD_BUILDING_PREVIEW	Elõrejelzés
GUILD_BUILDING_PRICE	Ár
GUILD_BUILDING_REFRESH	Frissítés (F5)
GUILD_BUILDING_STONE	Kõ
GUILD_BUILDING_TITLE	Céhház építés
GUILD_CRYSTAL	Kristály
GUILD_DEPOSIT	Fizetni
GUILD_DROP_RESOURCE1	itt
GUILD_DROP_RESOURCE2	Erõforrás eldobás
GUILD_GEM	Drágakõ
GUILD_GRADE_CHANGE_GRADE_NAME	Új rang név
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Kirúg
GUILD_GRADE_PERMISSION_JOIN	Meghív
GUILD_GRADE_PERMISSION_NOTICE	Írás
GUILD_GRADE_PERMISSION_SKILL	Képz.
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Írni
GUILD_INFO	Céh információ
GUILD_INFO_CUR_EXP	Tapasztalat
GUILD_INFO_DECALRE_WAR	Hadat üzen
GUILD_INFO_ENEMY_GUILD	Ellenséges céh
GUILD_INFO_ENEMY_GUILD_EMPTY	Semennyi
GUILD_INFO_LEVEL	Céh-szint
GUILD_INFO_MARK	Céh jel
GUILD_INFO_MASTER	Vezetõ
GUILD_INFO_MASTER_VALUE	Vezetõ
GUILD_INFO_MEMBER_AVG_LEVEL	Átlagos Szint
GUILD_INFO_MEMBER_NUM	Tagok száma
GUILD_INFO_NAME	Céh név
GUILD_INFO_NAME_VALUE	Ez egy céh név
GUILD_INFO_OFFER_EXP	Befektet.
GUILD_INFO_REST_EXP	Szükséges tapasztalat
GUILD_INFO_UPLOAD_MARK	Jel feltöltés
GUILD_INFO_UPLOAD_SYMBOL	Zászló feltöltés
GUILD_MARK	Céh jel
GUILD_MEMBER_JOB	Kaszt
GUILD_MEMBER_KNIGHT	Vezetõ
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Név
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Befektet.
GUILD_METIN_STONE	Metin kõ
GUILD_MINENAL	Ásvány
GUILD_MONEY	Yang
GUILD_NAME	Céh
GUILD_RESOURCE_INFO	Forrás információk
GUILD_SKILL_ACTIVE	Aktív
GUILD_SKIlL_HEAL_GSP	Feltölteni
GUILD_SKILL_PASSIVE	Passzív
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Céh képesség
GUILD_SYMBOL	Céh zászló
GUILD_WAR_ACCEPT	Céh hadüzenet elfogadása
GUILD_WAR_BATTLE_TYPE	Harci mód
GUILD_WAR_CTF	Zászló
GUILD_WAR_DECLARE	Céh háborút kinyilvánít
GUILD_WAR_ENEMY	Ellenség
GUILD_WAR_NORMAL	Harcmezõ
GUILD_WAR_WARP	Aréna
GUILD_WATER	Víz
GUILD_WATER_STONE	Aqua kõ
GUILD_WITHDRAW	Kivon
HELP_ATTACK_KEY	Támadás: bal egérgomb vagy szóköz billentyû
HELP_CHANGE_PK_MODE	Támadási mód váltás: bal egérgomb beállítása
HELP_CHARACTER_BUTTON1	(Karakter ablak, Leltár ablak,
HELP_CHARACTER_BUTTON2	Barátlista és Beállítások)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kameraállás: középsõ vagy jobb egérgomb
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kameraállás: jobb vagy középsõ egérgomb
HELP_EXP	Tapasztalat
HELP_FURY	Játékbeli tárgy piac
HELP_GUILD_WINDOW	Céh ablak megnyitása: Alt+G
HELP_HELP	Segítség megmutatása: H
HELP_HP	Életerõ (TP)
HELP_MESSENGER_WINDOW	Barátlista megnyitása: Alt+M
HELP_MOUSE_LEFT	Bal egérgomb funkció
HELP_MOUSE_RIGHT	Jobb egérgomb funkció
HELP_MOVE_KEY	Vezérlés: W, A, S, D, vagy nyíl billentyûk
HELP_OPEN_CHARACTER	Karakter ablak megnyitása: C
HELP_OPEN_CHAT	Cset ablak megnyitása: Enter
HELP_OPEN_INVENTORY	Leltár ablak megnyitása: I
HELP_OPEN_LOG	Cset-log megnyitása: L
HELP_OPEN_MINIMAP	Mini térkép megnyitása: Shift + M
HELP_OPEN_QUEST	Feladata ablak megnyitása: N
HELP_OPEN_SKILL	Képesség ablak megnyitása: V
HELP_OPEN_WHISPER	Suttogás ablak megnyitása: Shift + Enter
HELP_OPEN_ZONEMAP	Nagy térkép megnyitása: M
HELP_PICK_ITEM	Tárgyak összegyûjtése: ^ vagy Y billentyû, vagy bal egérgomb
HELP_QUICKSLOT	Gyors elérési mezõk
